#Id	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	Alias	dbxref	Type	Qualifier	GO	Desc
tR(ACG)D	chrIV	-	#N/A	#N/A	619969	620041	#N/A	619969	620041	72	#N/A	#N/A	#N/A	#N/A	0
tQ(UUG)D2	chrIV	-	#N/A	#N/A	645153	645224	#N/A	645153	645224	71	#N/A	#N/A	#N/A	#N/A	0
YDRCTy1-1	chrIV	-	#N/A	#N/A	645502	651419	#N/A	645502	651419	5917	#N/A	#N/A	#N/A	#N/A	0
tI(AAU)D	chrIV	-	#N/A	#N/A	668007	668080	#N/A	668007	668080	73	#N/A	#N/A	#N/A	#N/A	0
tQ(UUG)D3	chrIV	-	#N/A	#N/A	802731	802802	#N/A	802731	802802	71	TATA-less	-	802813	802765	0
YDRWTy2-2	chrIV	+	#N/A	#N/A	871821	877779	#N/A	871821	877779	5958	#N/A	#N/A	#N/A	#N/A	0
YDRCTy1-2	chrIV	-	#N/A	#N/A	878303	884220	#N/A	878303	884220	5917	#N/A	#N/A	#N/A	#N/A	0
tI(UAU)D	chrIV	+	#N/A	#N/A	884361	884493	#N/A	"884361,884458,"	"884397,884493,"	132	#N/A	#N/A	#N/A	#N/A	0
tY(GUA)D	chrIV	+	#N/A	#N/A	946312	946400	#N/A	"946312,946365,"	"946350,946400,"	88	#N/A	#N/A	#N/A	#N/A	0
tS(AGA)D2	chrIV	-	#N/A	#N/A	980974	981055	#N/A	980974	981055	81	#N/A	#N/A	#N/A	#N/A	0
YDRWTy2-3	chrIV	+	#N/A	#N/A	981171	987125	#N/A	981171	987125	5954	#N/A	#N/A	#N/A	#N/A	0
YDRCTy1-3	chrIV	-	#N/A	#N/A	987150	992642	#N/A	987150	992642	5492	#N/A	#N/A	#N/A	#N/A	0
tG(GCC)D2	chrIV	+	#N/A	#N/A	992832	992902	#N/A	992832	992902	70	TATA-less	-	992816	992807	0
tE(CUC)D	chrIV	-	#N/A	#N/A	1017207	1017278	#N/A	1017207	1017278	71	TATA-less	-	1017277	1017317	0
tV(CAC)D	chrIV	-	#N/A	#N/A	1075472	1075544	#N/A	1075472	1075544	72	TATA-less	-	1075555	0	0
tF(GAA)D	chrIV	-	#N/A	#N/A	1095370	1095461	#N/A	"1095370,1095425,"	"1095370,1095425,"	91	TATA-containing	-	1095476	1095497	0
YDRWTy1-4	chrIV	+	#N/A	#N/A	1095767	1101692	#N/A	1095767	1101692	5925	#N/A	#N/A	#N/A	#N/A	0
tX(XXX)D	chrIV	-	#N/A	#N/A	1150842	1150941	#N/A	1150842	1150941	99	TATA-less	-	1150950	1150971	0
tM(CAU)D	chrIV	+	#N/A	#N/A	1175829	1175901	#N/A	1175829	1175901	72	TATA-less	-	1175804	0	0
tK(CUU)D1	chrIV	+	#N/A	#N/A	1201750	1201822	#N/A	1201750	1201822	72	TATA-less	-	1201726	1201700	0
YDRWTy1-5	chrIV	+	#N/A	#N/A	1206704	1212621	#N/A	1206704	1212621	5917	#N/A	#N/A	#N/A	#N/A	0
tG(CCC)D	chrIV	-	#N/A	#N/A	1257008	1257079	#N/A	1257008	1257079	71	TATA-less	-	1257089	0	0
tS(AGA)D3	chrIV	+	#N/A	#N/A	1305630	1305712	#N/A	1305630	1305712	82	TATA-less	-	1305604	0	0
tK(CUU)D2	chrIV	-	#N/A	#N/A	1352466	1352538	#N/A	1352466	1352538	72	#N/A	#N/A	#N/A	#N/A	0
snR13	chrIV	+	#N/A	#N/A	1402919	1403042	#N/A	1402919	1403042	123	#N/A	#N/A	#N/A	#N/A	0
tL(CAA)D	chrIV	-	#N/A	#N/A	1461715	1461829	#N/A	"1461715,1461792,"	"1461715,1461792,"	114	#N/A	#N/A	#N/A	#N/A	0
snR84	chrIV	-	#N/A	#N/A	1492477	1493026	#N/A	1492477	1493026	549	#N/A	#N/A	#N/A	#N/A	0
RPM1	chrV	+	#N/A	#N/A	85295	85777	#N/A	85295	85777	482	#N/A	#N/A	#N/A	#N/A	0
YEL077C	chrV	-	#N/A	#N/A	264	4097	1	264	4097	3833	#N/A	#N/A	#N/A	#N/A	Uncharacterized
YEL077W-A	chrV	+	#N/A	#N/A	630	1112	1	630	1112	482	#N/A	#N/A	#N/A	#N/A	Dubious
YEL076C-A	chrV	-	#N/A	#N/A	4185	5114	2	"4185,4602,"	"4322,5114,"	929	#N/A	#N/A	#N/A	#N/A	Uncharacterized
YEL076C	chrV	-	#N/A	#N/A	4464	5114	1	4464	5114	650	#N/A	#N/A	#N/A	#N/A	Uncharacterized
YEL075W-A	chrV	+	#N/A	#N/A	4870	5481	1	4870	5481	611	#N/A	#N/A	#N/A	#N/A	Dubious
YEL075C	chrV	-	#N/A	#N/A	5345	5713	1	5345	5713	368	#N/A	#N/A	#N/A	#N/A	Uncharacterized
YEL074W	chrV	+	#N/A	#N/A	6126	6464	1	6126	6464	338	#N/A	#N/A	#N/A	#N/A	Dubious
YEL073C	chrV	-	6646	7658	7230	7553	1	7230	7553	323	#N/A	#N/A	#N/A	#N/A	Uncharacterized
YEL072W	chrV	+	13590	14724	13720	14415	1	13720	14415	695	TATA-less	TAF1-enriched	13606	13585	Verified
YEL071W	chrV	+	16319	17937	16355	17845	1	16355	17845	1490	TATA-containing	TAF1-depleted	16283	16245	Verified
YEL070W	chrV	+	19589	21229	19589	21097	1	19589	21097	1508	#N/A	#N/A	#N/A	#N/A	Uncharacterized
YEL069C	chrV	-	21436	23282	21537	23231	1	21537	23231	1694	#N/A	#N/A	#N/A	#N/A	Verified
YEL068C	chrV	-	25494	25989	25646	25978	1	25646	25978	332	TATA-less	TAF1-enriched	26095	26060	Uncharacterized
YEL067C	chrV	-	#N/A	#N/A	26189	26776	1	26189	26776	587	#N/A	#N/A	#N/A	#N/A	Uncharacterized
YEL066W	chrV	+	26644	27283	26667	27206	1	26667	27206	539	#N/A	#N/A	#N/A	#N/A	Verified
YEL065W	chrV	+	27626	29623	27657	29543	1	27657	29543	1886	TATA-containing	TAF1-depleted	27592	27563	Verified
YEL064C	chrV	-	29492	31268	29797	31239	1	29797	31239	1442	#N/A	#N/A	#N/A	#N/A	Verified
YEL063C	chrV	-	31403	33697	31694	33466	1	31694	33466	1772	TATA-less	TAF1-depleted	33709	33732	Verified
YEL062W	chrV	+	34394	36393	34407	36254	1	34407	36254	1847	TATA-less	TAF1-enriched	34354	34328	Verified
YEL061C	chrV	-	36279	39660	36535	39537	1	36535	39537	3002	TATA-less	TAF1-enriched	39656	39697	Verified
YEL060C	chrV	-	39800	42008	40046	41953	1	40046	41953	1907	TATA-containing	TAF1-depleted	42034	42070	Verified
YEL059C-A	chrV	-	42322	42663	42400	42624	1	42400	42624	224	#N/A	#N/A	#N/A	#N/A	Verified
YEL059W	chrV	+	#N/A	#N/A	42652	42960	1	42652	42960	308	#N/A	#N/A	#N/A	#N/A	Dubious
YEL058W	chrV	+	43236	44999	43252	44925	1	43252	44925	1673	TATA-less	TAF1-enriched	43209	43177	Verified
YEL057C	chrV	-	44914	45798	45020	45721	1	45020	45721	701	#N/A	#N/A	#N/A	#N/A	Uncharacterized
YEL056W	chrV	+	47130	48483	47168	48373	1	47168	48373	1205	TATA-less	TAF1-enriched	47111	47071	Verified
YEL055C	chrV	-	48399	51594	48471	51539	1	48471	51539	3068	TATA-less	TAF1-enriched	51596	0	Verified
YEL054C	chrV	-	52641	53245	52721	53218	1	52721	53218	497	TATA-less	TAF1-enriched	53295	53342	Verified
YEL053W-A	chrV	+	#N/A	#N/A	52908	53255	1	52908	53255	347	#N/A	#N/A	#N/A	#N/A	Dubious
YEL053C	chrV	-	53818	56185	53901	56102	1	53901	56102	2201	TATA-less	TAF1-enriched	56176	56199	Verified
YEL052W	chrV	+	56536	58166	56571	58100	1	56571	58100	1529	TATA-less	TAF1-enriched	56498	56435	Verified
YEL051W	chrV	+	58331	59248	58378	59148	1	58378	59148	770	TATA-less	TAF1-enriched	58304	58293	Verified
YEL050W-A	chrV	+	59495	59807	59549	59740	1	59549	59740	191	#N/A	#N/A	#N/A	#N/A	Dubious
YEL050C	chrV	-	59499	60902	59670	60851	1	59670	60851	1181	TATA-less	TAF1-enriched	60892	60968	Verified
YEL049W	chrV	+	63373	64244	63728	64090	1	63728	64090	362	#N/A	#N/A	#N/A	#N/A	Verified
YEL048C	chrV	-	64168	65188	64709	65167	1	64709	65167	458	TATA-less	TAF1-enriched	65203	65239	Verified
YEL047C	chrV	-	65343	66811	65385	66797	1	65385	66797	1412	TATA-containing	TAF1-enriched	66854	66880	Verified
YEL046C	chrV	-	67043	68894	67629	68792	1	67629	68792	1163	TATA-containing	TAF1-depleted	68934	68979	Verified
YEL045C	chrV	-	#N/A	#N/A	68840	69265	1	68840	69265	425	#N/A	#N/A	#N/A	#N/A	Dubious
YEL044W	chrV	+	69751	70382	69757	70257	1	69757	70257	500	TATA-less	TAF1-enriched	69746	69722	Verified
YEL043W	chrV	+	70441	73440	70478	73348	1	70478	73348	2870	TATA-less	TAF1-depleted	70243	70227	Verified
YEL042W	chrV	+	73569	75471	73771	75327	1	73771	75327	1556	TATA-less	TAF1-depleted	73598	73547	Verified
YEL041W	chrV	+	75835	78075	75944	77431	1	75944	77431	1487	#N/A	#N/A	#N/A	#N/A	Verified
YEL040W	chrV	+	78032	79555	78053	79456	1	78053	79456	1403	TATA-containing	TAF1-depleted	77976	77951	Verified
YEL039C	chrV	-	79525	80157	79636	79977	1	79636	79977	341	#N/A	#N/A	#N/A	#N/A	Verified
YEL038W	chrV	+	80443	81196	80462	81145	1	80462	81145	683	TATA-less	TAF1-enriched	80396	80376	Verified
YEL037C	chrV	-	81251	82762	81407	82603	1	81407	82603	1196	TATA-less	TAF1-enriched	82799	82809	Verified
YEL036C	chrV	-	82966	84697	83050	84552	1	83050	84552	1502	TATA-less	TAF1-enriched	84695	84723	Verified
YEL035C	chrV	-	84676	85578	85045	85545	1	85045	85545	500	#N/A	#N/A	#N/A	#N/A	Uncharacterized
YEL034C-A	chrV	-	85440	86268	85613	86215	1	85613	86215	602	#N/A	#N/A	#N/A	#N/A	Dubious
YEL034W	chrV	+	85623	86181	85676	86149	1	85676	86149	473	TATA-less	TAF1-enriched	85547	85514	Verified
YEL033W	chrV	+	#N/A	#N/A	86179	86598	1	86179	86598	419	#N/A	#N/A	#N/A	#N/A	Uncharacterized
YEL032W	chrV	+	86886	90036	86937	89852	1	86937	89852	2915	TATA-less	TAF1-enriched	86872	86845	Verified
YEL032C-A	chrV	-	#N/A	#N/A	87040	87201	1	87040	87201	161	#N/A	#N/A	#N/A	#N/A	Dubious
YEL031W	chrV	+	90227	93998	90258	93905	1	90258	93905	3647	TATA-less	TAF1-enriched	90191	90181	Verified
YEL030C-A	chrV	-	#N/A	#N/A	94583	94897	1	94583	94897	314	#N/A	#N/A	#N/A	#N/A	Dubious
YEL030W	chrV	+	94191	96948	94644	96578	1	94644	96578	1934	#N/A	#N/A	#N/A	#N/A	Verified
YEL029C	chrV	-	96494	97861	96858	97796	1	96858	97796	938	TATA-less	TAF1-enriched	97923	97952	Verified
YEL028W	chrV	+	98074	99663	98668	99129	1	98668	99129	461	#N/A	#N/A	#N/A	#N/A	Dubious
YEL027W	chrV	+	100706	101504	100769	101251	1	100769	101251	482	TATA-less	TAF1-enriched	100640	100577	Verified
YEL026W	chrV	+	101853	102394	101943	102323	1	101943	102323	380	TATA-less	TAF1-depleted	101812	101778	Verified
YEL025C	chrV	-	102338	106160	102581	106147	1	102581	106147	3566	TATA-less	TAF1-enriched	106182	106214	Uncharacterized
YEL024W	chrV	+	107159	108307	107260	107907	1	107260	107907	647	TATA-less	TAF1-enriched	107126	107109	Verified
YEL023C	chrV	-	108378	111112	108504	110552	1	108504	110552	2048	#N/A	#N/A	#N/A	#N/A	Uncharacterized
YEL022W	chrV	+	111340	115873	111421	115800	1	111421	115800	4379	TATA-less	TAF1-enriched	111330	111292	Verified
YEL021W	chrV	+	116134	117023	116167	116970	1	116167	116970	803	#N/A	#N/A	#N/A	#N/A	Verified
YEL020C-B	chrV	-	#N/A	#N/A	117183	117380	1	117183	117380	197	TATA-less	TAF1-enriched	117576	117610	Dubious
YEL020W-A	chrV	+	117160	117566	117211	117474	1	117211	117474	263	TATA-containing	TAF1-enriched	117140	117125	Verified
YEL020C	chrV	-	118507	120557	118617	120299	1	118617	120299	1682	#N/A	#N/A	#N/A	#N/A	Uncharacterized
YEL019C	chrV	-	120343	121311	120498	121301	1	120498	121301	803	#N/A	#N/A	#N/A	#N/A	Verified
YEL018C-A	chrV	-	#N/A	#N/A	121455	121988	1	121455	121988	533	#N/A	#N/A	#N/A	#N/A	Dubious
YEL018W	chrV	+	121467	122392	121471	122310	1	121471	122310	839	TATA-less	TAF1-enriched	121452	121424	Verified
YEL017C-A	chrV	-	122331	122959	122798	122929	1	122798	122929	131	TATA-less	TAF1-depleted	123045	123047	Verified
YEL017W	chrV	+	123647	124761	123657	124670	1	123657	124670	1013	TATA-less	TAF1-enriched	123627	123596	Verified
YEL016C	chrV	-	124645	126401	124737	126218	1	124737	126218	1481	#N/A	#N/A	#N/A	#N/A	Verified
YEL015W	chrV	+	126596	128338	126629	128284	1	126629	128284	1655	TATA-less	TAF1-enriched	126563	126520	Verified
YEL014C	chrV	-	#N/A	#N/A	128303	128608	1	128303	128608	305	#N/A	#N/A	#N/A	#N/A	Dubious
YEL013W	chrV	+	128576	131010	128825	130561	1	128825	130561	1736	TATA-less	TAF1-enriched	128600	128574	Verified
YEL012W	chrV	+	131677	132660	131772	132551	2	"131772,131900,"	"131776,132551,"	779	TATA-less	TAF1-enriched	131615	131562	Verified
YEL011W	chrV	+	133089	135350	133120	135234	1	133120	135234	2114	#N/A	#N/A	#N/A	#N/A	Verified
YEL010W	chrV	+	#N/A	#N/A	136279	136629	1	136279	136629	350	#N/A	#N/A	#N/A	#N/A	Dubious
YEL009C-A	chrV	-	#N/A	#N/A	136371	136778	1	136371	136778	407	#N/A	#N/A	#N/A	#N/A	Dubious
YEL009C	chrV	-	138823	140334	138918	139763	1	138918	139763	845	#N/A	#N/A	#N/A	#N/A	Verified
YEL008W	chrV	+	140400	141261	140512	140892	1	140512	140892	380	TATA-containing	TAF1-depleted	140414	140349	Dubious
YEL008C-A	chrV	-	140310	140992	140726	140818	1	140726	140818	92	TATA-less	TAF1-enriched	140900	140931	Dubious
YEL007W	chrV	+	#N/A	#N/A	141892	143892	1	141892	143892	2000	TATA-less	TAF1-enriched	141568	141560	Verified
YEL006W	chrV	+	144270	145488	144327	145334	1	144327	145334	1007	TATA-containing	TAF1-depleted	144251	144226	Verified
YEL005C	chrV	-	145834	146791	145907	146755	1	145907	146755	848	#N/A	#N/A	#N/A	#N/A	Verified
YEL004W	chrV	+	146927	148091	146951	147979	1	146951	147979	1028	#N/A	#N/A	#N/A	#N/A	Verified
YEL003W	chrV	+	148157	148737	148176	148599	2	"148176,148283,"	"148194,148599,"	423	TATA-less	TAF1-enriched	147962	147989	Verified
YEL002C	chrV	-	148633	150064	148722	150014	1	148722	150014	1292	TATA-less	TAF1-enriched	150103	150139	Verified
YEL001C	chrV	-	150199	151017	150301	150978	1	150301	150978	677	TATA-less	TAF1-enriched	150994	151027	Verified
YER001W	chrV	+	153471	155912	153520	155808	1	153520	155808	2288	TATA-containing	TAF1-depleted	153416	153393	Verified
YER002W	chrV	+	156754	157592	156803	157498	1	156803	157498	695	TATA-less	TAF1-enriched	156742	156714	Verified
YER003C	chrV	-	157467	159162	157736	159118	2	"157736,159088,"	"158994,159118,"	1382	TATA-less	TAF1-enriched	159188	159221	Verified
YER004W	chrV	+	159572	160536	159580	160275	1	159580	160275	695	TATA-less	TAF1-enriched	159540	159489	Verified
YER005W	chrV	+	160509	162529	160550	162442	1	160550	162442	1892	TATA-less	TAF1-depleted	160460	160470	Verified
YER006W	chrV	+	162684	164345	162723	164285	1	162723	164285	1562	TATA-less	TAF1-enriched	162659	162639	Verified
YER006C-A	chrV	-	#N/A	#N/A	164344	164661	1	164344	164661	317	#N/A	#N/A	#N/A	#N/A	Dubious
YER007W	chrV	+	164506	166227	164527	166083	1	164527	166083	1556	#N/A	#N/A	#N/A	#N/A	Verified
YER007C-A	chrV	-	166148	166925	166237	166885	2	"166237,166875,"	"166771,166885,"	648	TATA-less	TAF1-enriched	166922	166934	Verified
YER008C	chrV	-	167724	171884	167808	171818	1	167808	171818	4010	TATA-less	TAF1-enriched	171849	171881	Verified
YER009W	chrV	+	172081	172656	172115	172492	1	172115	172492	377	#N/A	#N/A	#N/A	#N/A	Verified
YER010C	chrV	-	172541	173359	172634	173338	1	172634	173338	704	TATA-less	TAF1-enriched	173343	173373	Verified
YER011W	chrV	+	175194	176090	175248	176012	1	175248	176012	764	TATA-containing	TAF1-depleted	175159	175123	Verified
YER012W	chrV	+	177774	178560	177835	178431	1	177835	178431	596	TATA-less	TAF1-enriched	177743	177708	Verified
YER013W	chrV	+	178823	182368	178841	182278	1	178841	182278	3437	TATA-less	TAF1-enriched	178817	178789	Verified
YER014W	chrV	+	182546	184334	182600	184219	1	182600	184219	1619	#N/A	#N/A	#N/A	#N/A	Verified
YER014C-A	chrV	-	#N/A	#N/A	183731	184700	2	"183731,184678,"	"184169,184700,"	969	#N/A	#N/A	#N/A	#N/A	Verified
YER015W	chrV	+	184519	187028	184541	186775	1	184541	186775	2234	TATA-less	TAF1-enriched	184415	184458	Verified
YER016W	chrV	+	188257	189424	188277	189311	1	188277	189311	1034	TATA-less	TAF1-enriched	188255	188217	Verified
YER017C	chrV	-	189340	191884	189503	191788	1	189503	191788	2285	TATA-less	TAF1-depleted	191864	191881	Verified
YER018C	chrV	-	191885	192679	191959	192624	1	191959	192624	665	TATA-less	TAF1-enriched	192649	192665	Verified
YER019W	chrV	+	192417	194311	192797	194230	1	192797	194230	1433	TATA-less	TAF1-depleted	192415	192390	Verified
YER019C-A	chrV	-	194218	194592	194273	194539	1	194273	194539	266	TATA-less	TAF1-enriched	194605	194634	Verified
YER020W	chrV	+	195075	196688	195168	196517	1	195168	196517	1349	TATA-containing	TAF1-depleted	195086	195095	Verified
YER021W	chrV	+	196917	198645	196948	198519	1	196948	198519	1571	TATA-less	TAF1-enriched	196887	196884	Verified
YER022W	chrV	+	198782	200974	198812	200875	1	198812	200875	2063	TATA-less	TAF1-enriched	198775	198732	Verified
YER023W	chrV	+	201051	202005	201076	201936	1	201076	201936	860	TATA-less	TAF1-enriched	201019	200952	Verified
YER023C-A	chrV	-	#N/A	#N/A	201522	201734	1	201522	201734	212	#N/A	#N/A	#N/A	#N/A	Dubious
YER024W	chrV	+	202006	205240	202192	204963	1	202192	204963	2771	#N/A	#N/A	#N/A	#N/A	Verified
YER025W	chrV	+	205193	207092	205251	206834	1	205251	206834	1583	TATA-less	TAF1-enriched	205182	205155	Verified
YER026C	chrV	-	207515	208539	207644	208474	1	207644	208474	830	TATA-containing	TAF1-depleted	208563	208582	Verified
YER027C	chrV	-	208732	210301	208979	210232	1	208979	210232	1253	TATA-less	TAF1-enriched	210331	210386	Verified
YER028C	chrV	-	210636	211944	210692	211876	1	210692	211876	1184	TATA-containing	TAF1-depleted	212074	212101	Verified
YER029C	chrV	-	212475	213243	212587	213177	1	212587	213177	590	TATA-less	TAF1-enriched	213260	213290	Verified
YER030W	chrV	+	213424	214018	213437	213898	1	213437	213898	461	#N/A	#N/A	#N/A	#N/A	Verified
YER031C	chrV	-	213932	214782	214076	214747	1	214076	214747	671	TATA-less	TAF1-enriched	214775	214805	Verified
YER032W	chrV	+	215004	217955	215063	217693	1	215063	217693	2630	TATA-less	TAF1-enriched	214975	214948	Verified
YER033C	chrV	-	217804	221287	218057	221287	1	218057	221287	3230	TATA-less	TAF1-enriched	221528	221560	Verified
YER034W	chrV	+	221833	222652	221846	222403	1	221846	222403	557	#N/A	#N/A	#N/A	#N/A	Verified
YER035W	chrV	+	222564	223215	222639	223076	1	222639	223076	437	TATA-less	TAF1-depleted	222530	222506	Verified
YER036C	chrV	-	223263	225232	223367	225199	1	223367	225199	1832	TATA-containing	TAF1-enriched	225290	225327	Verified
YER037W	chrV	+	225868	227074	225889	226854	1	225889	226854	965	#N/A	#N/A	#N/A	#N/A	Verified
YER038C	chrV	-	226104	228262	226858	228252	1	226858	228252	1394	#N/A	#N/A	#N/A	#N/A	Verified
YER038W-A	chrV	+	228379	229356	228451	228831	1	228451	228831	380	#N/A	#N/A	#N/A	#N/A	Uncharacterized
YER039C	chrV	-	228360	229450	228456	229205	1	228456	229205	749	TATA-less	TAF1-enriched	229535	229566	Verified
YER039C-A	chrV	-	228799	229507	229263	229481	1	229263	229481	218	#N/A	#N/A	#N/A	#N/A	Uncharacterized
YER040W	chrV	+	229713	232249	229795	231987	1	229795	231987	2192	TATA-less	TAF1-enriched	229708	229728	Verified
YER041W	chrV	+	232411	234908	232461	234740	1	232461	234740	2279	#N/A	#N/A	#N/A	#N/A	Verified
YER042W	chrV	+	234929	235558	234937	235491	1	234937	235491	554	TATA-containing	TAF1-enriched	234849	234829	Verified
YER043C	chrV	-	235535	237143	235770	237119	1	235770	237119	1349	TATA-less	TAF1-enriched	237201	237213	Verified
YER044C	chrV	-	237432	238055	237570	238016	1	237570	238016	446	TATA-containing	TAF1-depleted	238138	238163	Verified
YER044C-A	chrV	-	#N/A	#N/A	238460	239774	2	"238460,239712,"	"239623,239774,"	1314	#N/A	#N/A	#N/A	#N/A	Verified
YER045C	chrV	-	239884	241714	240032	241501	1	240032	241501	1469	#N/A	#N/A	#N/A	#N/A	Verified
YER046W	chrV	+	242514	243665	243180	243611	1	243180	243611	431	#N/A	#N/A	#N/A	#N/A	Verified
YER046W-A	chrV	+	#N/A	#N/A	243700	244029	1	243700	244029	329	#N/A	#N/A	#N/A	#N/A	Dubious
YER047C	chrV	-	#N/A	#N/A	243810	246503	1	243810	246503	2693	TATA-less	TAF1-enriched	246700	246732	Verified
YER048C	chrV	-	246861	248224	246982	248157	1	246982	248157	1175	TATA-less	TAF1-enriched	248285	248298	Verified
YER048W-A	chrV	+	250637	251330	250718	251002	1	250718	251002	284	TATA-less	TAF1-depleted	250614	250603	Verified
YER049W	chrV	+	251646	253754	251728	253662	1	251728	253662	1934	TATA-less	TAF1-enriched	251613	251587	Verified
YER050C	chrV	-	253859	254434	253971	254387	1	253971	254387	416	TATA-less	TAF1-enriched	254472	254498	Verified
YER051W	chrV	+	254643	256229	254656	256134	1	254656	256134	1478	TATA-less	TAF1-enriched	254653	254627	Verified
YER052C	chrV	-	256263	258022	256375	257958	1	256375	257958	1583	TATA-containing	TAF1-depleted	258061	258108	Verified
YER053C	chrV	-	258594	259737	258737	259639	1	258737	259639	902	TATA-less	TAF1-depleted	259815	259816	Verified
YER053C-A	chrV	-	260553	261088	260933	261046	1	260933	261046	113	#N/A	#N/A	#N/A	#N/A	Verified
YER054C	chrV	-	261872	264300	262052	263698	1	262052	263698	1646	#N/A	#N/A	#N/A	#N/A	Verified
YER055C	chrV	-	264760	265811	264892	265785	1	264892	265785	893	TATA-containing	TAF1-depleted	265884	265903	Verified
YER056C	chrV	-	266391	268200	266512	268113	1	266512	268113	1601	TATA-containing	TAF1-depleted	268249	268285	Verified
YER056C-A	chrV	-	269344	270217	269423	270185	2	"269423,270149,"	"269751,270185,"	762	TATA-less	TAF1-enriched	270214	270244	Verified
YER057C	chrV	-	270653	271169	270737	271126	1	270737	271126	389	TATA-less	TAF1-depleted	271187	271247	Verified
YER058W	chrV	+	271736	272216	271768	272091	1	271768	272091	323	TATA-less	TAF1-enriched	271737	271677	Verified
YER059W	chrV	+	272442	273958	272624	273886	1	272624	273886	1262	TATA-less	TAF1-enriched	272458	272433	Verified
YER060W	chrV	+	274438	276283	274567	276153	1	274567	276153	1586	TATA-containing	TAF1-enriched	274437	274415	Verified
YER060W-A	chrV	+	276488	278311	276572	278164	1	276572	278164	1592	#N/A	#N/A	#N/A	#N/A	Verified
YER061C	chrV	-	278236	279666	278298	279626	1	278298	279626	1328	TATA-less	TAF1-enriched	279692	279718	Verified
YER062C	chrV	-	279755	280823	279930	280682	1	279930	280682	752	TATA-containing	TAF1-enriched	280805	280839	Verified
YER063W	chrV	+	281649	282512	281710	282366	1	281710	282366	656	TATA-less	TAF1-enriched	281610	281597	Verified
YER064C	chrV	-	282467	284312	282705	284222	1	282705	284222	1517	TATA-containing	TAF1-depleted	284330	284388	Verified
YER065C	chrV	-	285119	287178	285241	286914	1	285241	286914	1673	TATA-less	TAF1-depleted	287218	287250	Verified
YER066W	chrV	+	289350	290944	290242	290799	1	290242	290799	557	#N/A	#N/A	#N/A	#N/A	Uncharacterized
YER066C-A	chrV	-	#N/A	#N/A	291703	292203	1	291703	292203	500	#N/A	#N/A	#N/A	#N/A	Dubious
YER067W	chrV	+	291990	292641	292066	292551	1	292066	292551	485	#N/A	#N/A	#N/A	#N/A	Verified
YER067C-A	chrV	-	#N/A	#N/A	292240	292563	1	292240	292563	323	#N/A	#N/A	#N/A	#N/A	Dubious
YER068W	chrV	+	292983	294911	293050	294813	1	293050	294813	1763	TATA-less	TAF1-enriched	292923	292895	Verified
YER068C-A	chrV	-	294840	296776	295301	295732	1	295301	295732	431	#N/A	#N/A	#N/A	#N/A	Dubious
YER069W	chrV	+	295337	298128	295410	298001	1	295410	298001	2591	TATA-less	TAF1-depleted	295279	295257	Verified
YER070W	chrV	+	298911	301822	298950	301616	1	298950	301616	2666	TATA-containing	TAF1-depleted	298849	298819	Verified
YER071C	chrV	-	301703	302336	301947	302327	1	301947	302327	380	TATA-less	TAF1-enriched	302349	302375	Uncharacterized
YER072W	chrV	+	302788	303341	302806	303195	1	302806	303195	389	TATA-less	TAF1-depleted	302730	302705	Verified
YER073W	chrV	+	303952	305865	304030	305592	1	304030	305592	1562	TATA-containing	TAF1-depleted	303909	303875	Verified
YER074W	chrV	+	306297	307292	306323	307196	2	"306323,306792,"	"306325,307196,"	873	TATA-less	TAF1-enriched	306309	306309	Verified
YER074W-A	chrV	+	307639	308196	307653	308123	3	"307653,307849,308066,"	"307746,307956,308123,"	470	TATA-less	TAF1-enriched	307584	307573	Verified
YER075C	chrV	-	308294	311361	308413	311199	1	308413	311199	2786	TATA-less	TAF1-depleted	311385	311410	Verified
YER076C	chrV	-	312439	313638	312590	313498	1	312590	313498	908	TATA-less	TAF1-enriched	313694	313721	Uncharacterized
YER076W-A	chrV	+	313049	313893	313390	313737	1	313390	313737	347	#N/A	#N/A	#N/A	#N/A	Dubious
YER077C	chrV	-	314426	316778	314534	316600	1	314534	316600	2066	TATA-less	TAF1-enriched	316561	316588	Uncharacterized
YER078C	chrV	-	316723	318552	316807	318342	1	316807	318342	1535	#N/A	#N/A	#N/A	#N/A	Verified
YER078W-A	chrV	+	318147	318872	318646	318810	1	318646	318810	164	TATA-less	TAF1-enriched	318580	318548	Uncharacterized
YER079W	chrV	+	318835	319659	318920	319552	1	318920	319552	632	TATA-less	TAF1-depleted	318775	318744	Uncharacterized
YER079C-A	chrV	-	#N/A	#N/A	319902	320240	1	319902	320240	338	#N/A	#N/A	#N/A	#N/A	Dubious
YER080W	chrV	+	319944	321945	319963	321846	1	319963	321846	1883	TATA-less	TAF1-enriched	319895	319876	Verified
YER081W	chrV	+	322213	324278	322686	324095	1	322686	324095	1409	TATA-containing	TAF1-depleted	322591	322581	Verified
YER082C	chrV	-	324180	325990	324272	325936	1	324272	325936	1664	TATA-containing	TAF1-enriched	325977	325993	Verified
YER083C	chrV	-	326130	327049	326174	327031	1	326174	327031	857	TATA-less	TAF1-enriched	327071	327076	Verified
YER084W	chrV	+	#N/A	#N/A	327065	327451	1	327065	327451	386	#N/A	#N/A	#N/A	#N/A	Uncharacterized
